"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Komarichev A.; Hua J.; Zhong Z.","Komarichev, Artem (57194423885); Hua, Jing (7102121257); Zhong, Zichun (36835573000)","57194423885; 7102121257; 36835573000","DiffSVR: Differentiable Neural Implicit Surface Rendering for Single-View Reconstruction with Highly Sparse Depth Prior","2023","CAD Computer Aided Design","164","","103604","","","","0","10.1016/j.cad.2023.103604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167435166&doi=10.1016%2fj.cad.2023.103604&partnerID=40&md5=2e5a21a683e395067a92788b72dd7a1f","Article","Final","","Scopus","2-s2.0-85167435166"
"Li P.; Tang M.; Ding K.; Wu X.; Liu Y.","Li, Peng (56375954100); Tang, Ming (57204457396); Ding, Ke (57795671100); Wu, Xiaojun (57209053729); Liu, Yunhui (57203136059)","56375954100; 57204457396; 57795671100; 57209053729; 57203136059","Monocular tissue reconstruction via remote center motion for robot-assisted minimally invasive surgery","2022","Complex and Intelligent Systems","8","4","","2923","2936","13","0","10.1007/s40747-021-00485-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133950611&doi=10.1007%2fs40747-021-00485-9&partnerID=40&md5=ed0bf93ed23357996f7cd2a94dd15686","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85133950611"
"Wen M.; Park J.; Cho K.","Wen, Mingyun (56982444400); Park, Jisun (57192682916); Cho, Kyungeun (14833735900)","56982444400; 57192682916; 14833735900","Textured mesh generation using multi-view and multi-source supervision and generative adversarial networks","2021","Remote Sensing","13","21","4254","","","","1","10.3390/rs13214254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118145666&doi=10.3390%2frs13214254&partnerID=40&md5=c5c0894af9cf41a98e9ff979af54830b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85118145666"
"Lu Y.; Chen G.; Pang C.; Zhang H.; Zhang B.","Lu, Yifan (57275225300); Chen, Genlang (35730906700); Pang, Chaoyi (15063102700); Zhang, Haolan (15066290000); Zhang, Bailing (55662415900)","57275225300; 35730906700; 15063102700; 15066290000; 55662415900","Subject-Specific Human Modeling for Human Pose Estimation","2023","IEEE Transactions on Human-Machine Systems","53","1","","54","64","10","0","10.1109/THMS.2022.3195952","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137548830&doi=10.1109%2fTHMS.2022.3195952&partnerID=40&md5=c3475e72140bc4a66d525bf1d73c1a91","Article","Final","","Scopus","2-s2.0-85137548830"
"Zeng X.; Hu R.; Shi W.; Qiao Y.","Zeng, Xiaoxing (57202016436); Hu, Ruyun (57222085750); Shi, Wu (57219705067); Qiao, Yu (36086392600)","57202016436; 57222085750; 57219705067; 36086392600","Multi-view self-supervised learning for 3D facial texture reconstruction from single image","2021","Image and Vision Computing","115","","104311","","","","3","10.1016/j.imavis.2021.104311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115753550&doi=10.1016%2fj.imavis.2021.104311&partnerID=40&md5=ffe52651b52086bf3c7efb04a41e64e4","Article","Final","","Scopus","2-s2.0-85115753550"
"Zhu L.; Huang X.; Luo H.; Ma T.","Zhu, Leyi (57486896600); Huang, Xiaoming (55580702100); Luo, Haoyuan (57205650891); Ma, Tao (55654603600)","57486896600; 55580702100; 57205650891; 55654603600","Point cloud coordinate correction methods for road surface texture index calculation; [用于路面纹理指标计算的 点云坐标校正方法]","2023","Dongnan Daxue Xuebao (Ziran Kexue Ban)/Journal of Southeast University (Natural Science Edition)","53","3","","526","536","10","0","10.3969/j.issn.1001-0505.2023.03.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163865669&doi=10.3969%2fj.issn.1001-0505.2023.03.018&partnerID=40&md5=755450d17fd6eeef3f88720cc2432996","Article","Final","","Scopus","2-s2.0-85163865669"
"Wang Y.; Dong X.; Li G.; Dong J.; Yu H.","Wang, Yiming (56939081100); Dong, Xinghui (55447768100); Li, Gongfa (13408307700); Dong, Junyu (22634069200); Yu, Hui (56115992300)","56939081100; 55447768100; 13408307700; 22634069200; 56115992300","Cascade Regression-Based Face Frontalization for Dynamic Facial Expression Analysis","2022","Cognitive Computation","14","5","","1571","1584","13","6","10.1007/s12559-021-09843-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100780597&doi=10.1007%2fs12559-021-09843-8&partnerID=40&md5=293a3eb53ef5842cda5cdc3fe2cc9fdb","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85100780597"
"Wu H.; Xu R.; Xu K.; Zhao J.; Zhang Y.; Wang A.; Iwahori Y.","Wu, Haibin (57219039210); Xu, Ruotong (57418262400); Xu, Kaiyang (57343189700); Zhao, Jianbo (57417507500); Zhang, Yan (57417690100); Wang, Aili (55483869300); Iwahori, Yuji (7003339167)","57219039210; 57418262400; 57343189700; 57417507500; 57417690100; 55483869300; 7003339167","3D Texture Reconstruction of Abdominal Cavity Based on Monocular Vision SLAM for Minimally Invasive Surgery","2022","Symmetry","14","2","185","","","","3","10.3390/sym14020185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123098976&doi=10.3390%2fsym14020185&partnerID=40&md5=f636bcf64d3c7f1f0adb97ccfe770ee4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85123098976"
"Shi H.; Li G.; Bao H.","Shi, Hui (57213413493); Li, Gangyan (23975025300); Bao, Hanwei (55839900900)","57213413493; 23975025300; 55839900900","Lightweight Reconstruction Network for Surface Defect Detection Based on Texture Complexity Analysis","2023","Electronics (Switzerland)","12","17","3617","","","","0","10.3390/electronics12173617","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170545250&doi=10.3390%2felectronics12173617&partnerID=40&md5=653c002d07877c076bc39b506a048d34","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85170545250"
"Zheng C.; Xu F.","Zheng, Chengwei (57222406671); Xu, Feng (57189663151)","57222406671; 57189663151","DTexFusion: Dynamic Texture Fusion using a Consumer RGBD Sensor","2021","IEEE Transactions on Visualization and Computer Graphics","","","","","","","4","10.1109/TVCG.2021.3064846","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102618628&doi=10.1109%2fTVCG.2021.3064846&partnerID=40&md5=bf685c2d72b31a2de5da0faff65101e4","Article","Article in press","","Scopus","2-s2.0-85102618628"
"Li H.-Y.; Xiong L.-C.; Guo L.; Li H.-J.","Li, Hai-Yan (57185406100); Xiong, Li-Chang (57807313600); Guo, Lei (57202216267); Li, Hai-Jiang (57218845258)","57185406100; 57807313600; 57202216267; 57218845258","Two-Stage Inpainting Algorithm Based on U-net Edge Generation and Hypergraphs Convolution; [基于 U - net 边缘生成和超图卷积的两阶段修复算法]","2023","Dongbei Daxue Xuebao/Journal of Northeastern University","44","3","","331","339","8","0","10.12068/j.issn.1005-3026.2023.03.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153525923&doi=10.12068%2fj.issn.1005-3026.2023.03.004&partnerID=40&md5=f6ca14bac4e5602732c0e3edfbb2d50e","Article","Final","","Scopus","2-s2.0-85153525923"
"Wang F.; Zhu H.; Cai H.; Qu W.; Zhang S.; Liu Z.","Wang, Fei (57204590719); Zhu, Hongchun (16065268400); Cai, Haolin (57479195700); Qu, Wenhu (57678366100); Zhang, Shuaizhe (57678063700); Liu, Zhendong (56101659000)","57204590719; 16065268400; 57479195700; 57678366100; 57678063700; 56101659000","A Parallel Method for Texture Reconstruction in Large-Scale 3D Automatic Modeling Based on Oblique Photography","2022","Remote Sensing","14","9","2160","","","","0","10.3390/rs14092160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129865634&doi=10.3390%2frs14092160&partnerID=40&md5=11fc26fbdb8a07811c92a618dbf27c20","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85129865634"
